Generic Name	SMILES	Drug Bank ID	URL	Drug Groups	Score
Icosapent	DB00159	CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O	https://go.drugbank.com/drugs/DB00159	approved; nutraceutical	-694.162
Valine	DB00161	CC(C)[C@H](N)C(O)=O	https://go.drugbank.com/drugs/DB00161	approved; nutraceutical	-642.681
Vitamin A	DB00162	C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C	https://go.drugbank.com/drugs/DB00162	approved; nutraceutical; vet_approved	-566.668
Vitamin E	DB00163	CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C	https://go.drugbank.com/drugs/DB00163	approved; nutraceutical; vet_approved	-640.167
Pyridoxine	DB00165	CC1=C(O)C(CO)=C(CO)C=N1	https://go.drugbank.com/drugs/DB00165	approved; investigational; nutraceutical; vet_approved	-632.014
Lipoic acid	DB00166	OC(=O)CCCC[C@@H]1CCSS1	https://go.drugbank.com/drugs/DB00166	approved; investigational; nutraceutical	-638.122
Cholecalciferol	DB00169	CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C	https://go.drugbank.com/drugs/DB00169	approved; nutraceutical	-644.87
Menadione	DB00170	CC1=CC(=O)C2=CC=CC=C2C1=O	https://go.drugbank.com/drugs/DB00170	approved; nutraceutical	-663.747
Adenine	DB00173	NC1=C2NC=NC2=NC=N1	https://go.drugbank.com/drugs/DB00173	approved; nutraceutical	-655.55
Asparagine	DB00174	N[C@@H](CC(N)=O)C(O)=O	https://go.drugbank.com/drugs/DB00174	approved; investigational; nutraceutical	-650.434
Pravastatin	DB00175	[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC	https://go.drugbank.com/drugs/DB00175	approved	-528.511
Fluvoxamine	DB00176	COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F	https://go.drugbank.com/drugs/DB00176	approved; investigational	-629.055
Valsartan	DB00177	CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O	https://go.drugbank.com/drugs/DB00177	approved; investigational	-457.593
Ramipril	DB00178	[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC	https://go.drugbank.com/drugs/DB00178	approved	-385.562
Masoprocol	DB00179	C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1	https://go.drugbank.com/drugs/DB00179	approved; investigational	-632.715
Flunisolide	DB00180	[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO	https://go.drugbank.com/drugs/DB00180	approved; investigational	-632.585
Baclofen	DB00181	NCC(CC(O)=O)C1=CC=C(Cl)C=C1	https://go.drugbank.com/drugs/DB00181	approved	-659.256
Amphetamine	DB00182	CC(N)CC1=CC=CC=C1	https://go.drugbank.com/drugs/DB00182	approved; illicit; investigational	-631.464
Nicotine	DB00184	CN1CCC[C@H]1C1=CN=CC=C1	https://go.drugbank.com/drugs/DB00184	approved	-643.627
Cevimeline	DB00185	CC1O[C@@]2(CS1)CN1CCC2CC1	https://go.drugbank.com/drugs/DB00185	approved	-617.98
Lorazepam	DB00186	OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2	https://go.drugbank.com/drugs/DB00186	approved	-636.505
Esmolol	DB00187	COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1	https://go.drugbank.com/drugs/DB00187	approved	-631.03
Ethchlorvynol	DB00189	CCC(O)(\C=C\Cl)C#C	https://go.drugbank.com/drugs/DB00189	approved; illicit; withdrawn	-646.224
Carbidopa	DB00190	C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O	https://go.drugbank.com/drugs/DB00190	approved	-687.342
Phentermine	DB00191	CC(C)(N)CC1=CC=CC=C1	https://go.drugbank.com/drugs/DB00191	approved; illicit	-627.927
Indecainide	DB00192	CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12	https://go.drugbank.com/drugs/DB00192	approved	-601.077
Tramadol	DB00193	COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C	https://go.drugbank.com/drugs/DB00193	approved; investigational	-624.901
Vidarabine	DB00194	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O	https://go.drugbank.com/drugs/DB00194	approved; investigational	-624.269
Betaxolol	DB00195	CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1	https://go.drugbank.com/drugs/DB00195	approved; investigational	-664.337
Fluconazole	DB00196	OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1	https://go.drugbank.com/drugs/DB00196	approved; investigational	-593.068
Troglitazone	DB00197	CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O	https://go.drugbank.com/drugs/DB00197	approved; investigational; withdrawn	-634.08
Oseltamivir	DB00198	CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1	https://go.drugbank.com/drugs/DB00198	approved	-710.813
Caffeine	DB00201	CN1C=NC2=C1C(=O)N(C)C(=O)N2C	https://go.drugbank.com/drugs/DB00201	approved	-690.984
Succinylcholine	DB00202	C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C	https://go.drugbank.com/drugs/DB00202	approved	-631.936
Sildenafil	DB00203	CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1	https://go.drugbank.com/drugs/DB00203	approved; investigational	-625.421
Dofetilide	DB00204	CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1	https://go.drugbank.com/drugs/DB00204	approved; investigational	-633.886
Pyrimethamine	DB00205	CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1	https://go.drugbank.com/drugs/DB00205	approved; investigational; vet_approved	-631.237
Reserpine	DB00206	[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2	https://go.drugbank.com/drugs/DB00206	approved; investigational	57.919
Ticlopidine	DB00208	ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2	https://go.drugbank.com/drugs/DB00208	approved	-627.932
Adapalene	DB00210	COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2	https://go.drugbank.com/drugs/DB00210	approved	-579.327
Midodrine	DB00211	COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1	https://go.drugbank.com/drugs/DB00211	approved	-628.666
Pantoprazole	DB00213	COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1	https://go.drugbank.com/drugs/DB00213	approved	-649.02
Torasemide	DB00214	CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1	https://go.drugbank.com/drugs/DB00214	approved	-405.903
Citalopram	DB00215	CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1	https://go.drugbank.com/drugs/DB00215	approved	-629.981
Eletriptan	DB00216	CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2	https://go.drugbank.com/drugs/DB00216	approved; investigational	-618.349
Bethanidine	DB00217	CN\C(NCC1=CC=CC=C1)=N/C	https://go.drugbank.com/drugs/DB00217	approved	-633.964
Moxifloxacin	DB00218	[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O	https://go.drugbank.com/drugs/DB00218	approved; investigational	-599.138
Oxyphenonium	DB00219	CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1	https://go.drugbank.com/drugs/DB00219	approved	-616.772
Nelfinavir	DB00220	[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C	https://go.drugbank.com/drugs/DB00220	approved	-633.658
Isoetharine	DB00221	CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1	https://go.drugbank.com/drugs/DB00221	approved	-660.427
Diflorasone	DB00223	[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C	https://go.drugbank.com/drugs/DB00223	approved	-632.641
Indinavir	DB00224	CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12	https://go.drugbank.com/drugs/DB00224	approved	-604.383
Guanadrel	DB00226	NC(N)=NCC1COC2(CCCCC2)O1	https://go.drugbank.com/drugs/DB00226	approved	-552.748
Lovastatin	DB00227	[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC	https://go.drugbank.com/drugs/DB00227	approved; investigational	-653.541
Enflurane	DB00228	FC(F)OC(F)(F)C(F)Cl	https://go.drugbank.com/drugs/DB00228	approved; investigational; vet_approved	-626.614
Cefotiam	DB00229	[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O	https://go.drugbank.com/drugs/DB00229	approved; investigational	-686.334
Pregabalin	DB00230	CC(C)C[C@H](CN)CC(O)=O	https://go.drugbank.com/drugs/DB00230	approved; investigational	-629.734
Temazepam	DB00231	CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1	https://go.drugbank.com/drugs/DB00231	approved; investigational	-633.094
Aminosalicylic acid	DB00233	NC1=CC(O)=C(C=C1)C(O)=O	https://go.drugbank.com/drugs/DB00233	approved	-652.711
Reboxetine	DB00234	[H][C@@](OC1=CC=CC=C1OCC)(C1=CC=CC=C1)[C@@]1([H])CNCCO1	https://go.drugbank.com/drugs/DB00234	approved; experimental	-632.743
Milrinone	DB00235	CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1	https://go.drugbank.com/drugs/DB00235	approved	-711.848
Pipobroman	DB00236	BrCCC(=O)N1CCN(CC1)C(=O)CCBr	https://go.drugbank.com/drugs/DB00236	approved	-648.706
Butabarbital	DB00237	CCC(C)C1(CC)C(=O)NC(=O)NC1=O	https://go.drugbank.com/drugs/DB00237	approved; illicit	-632.729
Nevirapine	DB00238	CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1	https://go.drugbank.com/drugs/DB00238	approved	-634.409
Oxiconazole	DB00239	ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1	https://go.drugbank.com/drugs/DB00239	approved	-644.728
Alclometasone	DB00240	[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C	https://go.drugbank.com/drugs/DB00240	approved	-651.941
Butalbital	DB00241	CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O	https://go.drugbank.com/drugs/DB00241	approved; illicit	-710.607
Cladribine	DB00242	NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1	https://go.drugbank.com/drugs/DB00242	approved; investigational	-649.295
Ranolazine	DB00243	COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1	https://go.drugbank.com/drugs/DB00243	approved; investigational	-630.618
Mesalazine	DB00244	NC1=CC(C(O)=O)=C(O)C=C1	https://go.drugbank.com/drugs/DB00244	approved	-706.43
Ziprasidone	DB00246	ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1	https://go.drugbank.com/drugs/DB00246	approved	-644.891
Methysergide	DB00247	[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO	https://go.drugbank.com/drugs/DB00247	approved	-590.906
Cabergoline	DB00248	[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC	https://go.drugbank.com/drugs/DB00248	approved	-338.321
Idoxuridine	DB00249	OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O	https://go.drugbank.com/drugs/DB00249	approved; investigational	-656.553
Dapsone	DB00250	NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1	https://go.drugbank.com/drugs/DB00250	approved; investigational	-711.573
Terconazole	DB00251	CC(C)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1	https://go.drugbank.com/drugs/DB00251	approved	-292.686
Phenytoin	DB00252	O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1	https://go.drugbank.com/drugs/DB00252	approved; vet_approved	-633.422
Medrysone	DB00253	[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C	https://go.drugbank.com/drugs/DB00253	approved	-637.834
Diethylstilbestrol	DB00255	CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1	https://go.drugbank.com/drugs/DB00255	approved; investigational	-634.019
Clotrimazole	DB00257	ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1	https://go.drugbank.com/drugs/DB00257	approved; vet_approved	-704.906
Sulfanilamide	DB00259	NC1=CC=C(C=C1)S(N)(=O)=O	https://go.drugbank.com/drugs/DB00259	approved	-629.149
Cycloserine	DB00260	N[C@@H]1CONC1=O	https://go.drugbank.com/drugs/DB00260	approved	-706.403
Anagrelide	DB00261	ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl	https://go.drugbank.com/drugs/DB00261	approved	-634.864
Carmustine	DB00262	ClCCNC(=O)N(CCCl)N=O	https://go.drugbank.com/drugs/DB00262	approved; investigational	-647.703
Sulfisoxazole	DB00263	CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C	https://go.drugbank.com/drugs/DB00263	approved; vet_approved	-677.188
Metoprolol	DB00264	COCCC1=CC=C(OCC(O)CNC(C)C)C=C1	https://go.drugbank.com/drugs/DB00264	approved; investigational	-641.04
Crotamiton	DB00265	CCN(C(=O)C=CC)C1=CC=CC=C1C	https://go.drugbank.com/drugs/DB00265	approved	-647.129
Dicoumarol	DB00266	OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2	https://go.drugbank.com/drugs/DB00266	approved	-628.473
Cefmenoxime	DB00267	[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O	https://go.drugbank.com/drugs/DB00267	approved	-647.669
Ropinirole	DB00268	CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1	https://go.drugbank.com/drugs/DB00268	approved; investigational	-637.913
Isradipine	DB00270	COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C	https://go.drugbank.com/drugs/DB00270	approved; investigational	-633.686
Diatrizoate	DB00271	CC(=O)NC1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I	https://go.drugbank.com/drugs/DB00271	approved; vet_approved	-643.726
Betazole	DB00272	NCCC1=CC=NN1	https://go.drugbank.com/drugs/DB00272	approved	-688.074
Topiramate	DB00273	[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2	https://go.drugbank.com/drugs/DB00273	approved	-619.513
Cefmetazole	DB00274	[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)CSCC#N)OC)C(O)=O	https://go.drugbank.com/drugs/DB00274	approved; investigational	-472.399
Olmesartan	DB00275	CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O	https://go.drugbank.com/drugs/DB00275	approved; investigational	-625.749
Amsacrine	DB00276	COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1	https://go.drugbank.com/drugs/DB00276	approved; investigational	-635.273
Theophylline	DB00277	CN1C2=C(NC=N2)C(=O)N(C)C1=O	https://go.drugbank.com/drugs/DB00277	approved	-703.346
Argatroban	DB00278	C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C1=CC=CC2=C1NCC(C)C2	https://go.drugbank.com/drugs/DB00278	approved; investigational	-625.141
Liothyronine	DB00279	N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O	https://go.drugbank.com/drugs/DB00279	approved; vet_approved	-637.044
Disopyramide	DB00280	CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C	https://go.drugbank.com/drugs/DB00280	approved	-623.74
Lidocaine	DB00281	CCN(CC)CC(=O)NC1=C(C)C=CC=C1C	https://go.drugbank.com/drugs/DB00281	approved; vet_approved	-642.541
Pamidronic acid	DB00282	NCCC(O)(P(O)(O)=O)P(O)(O)=O	https://go.drugbank.com/drugs/DB00282	approved	-633.022
Clemastine	DB00283	CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1	https://go.drugbank.com/drugs/DB00283	approved; investigational	-633.679
Acarbose	DB00284	[H]C(=O)[C@H](O)[C@@H](O)[C@]([H])(O[C@@]1([H])O[C@H](CO)[C@@]([H])(O[C@H]2O[C@H](C)[C@@H](N[C@@]3([H])C=C(CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)CO	https://go.drugbank.com/drugs/DB00284	approved; investigational	-449.631
Venlafaxine	DB00285	COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1	https://go.drugbank.com/drugs/DB00285	approved	-632.635
Travoprost	DB00287	CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)COC1=CC=CC(=C1)C(F)(F)F	https://go.drugbank.com/drugs/DB00287	approved	-499.255
Amcinonide	DB00288	[H][C@@]12C[C@H]3OC4(CCCC4)O[C@@]3(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C	https://go.drugbank.com/drugs/DB00288	approved	-626.622
Atomoxetine	DB00289	CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1	https://go.drugbank.com/drugs/DB00289	approved	-637.074
Chlorambucil	DB00291	OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl	https://go.drugbank.com/drugs/DB00291	approved	-649.293
Etomidate	DB00292	CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1	https://go.drugbank.com/drugs/DB00292	approved	-636.253
Raltitrexed	DB00293	CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(S1)C(=O)N[C@@H](CCC(O)=O)C(O)=O	https://go.drugbank.com/drugs/DB00293	approved; investigational	-637.376
Etonogestrel	DB00294	[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]	https://go.drugbank.com/drugs/DB00294	approved; investigational	-655.561
Morphine	DB00295	[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O	https://go.drugbank.com/drugs/DB00295	approved; investigational	-618.273
Ropivacaine	DB00296	CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C	https://go.drugbank.com/drugs/DB00296	approved	-711.426
Bupivacaine	DB00297	CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C	https://go.drugbank.com/drugs/DB00297	approved; investigational	-608.257
Dapiprazole	DB00298	CC1=CC=CC=C1N1CCN(CCC2=NN=C3CCCCN23)CC1	https://go.drugbank.com/drugs/DB00298	approved	-541.622
Penciclovir	DB00299	NC1=NC(=O)C2=C(N1)N(CCC(CO)CO)C=N2	https://go.drugbank.com/drugs/DB00299	approved	-710.674
Flucloxacillin	DB00301	[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=C(Cl)C=CC=C1F)C(O)=O	https://go.drugbank.com/drugs/DB00301	approved; investigational	-566.898
